customer_id,name,gender,dob,phone,email,city,state,kyc_status,created_date
C1000,Customer0,M,1980-01-01,,,Hyderabad,State,N,2020-08-29
C1001,Customer1,F,1981-01-01,9917077201,user1@mail.com,Pune,State,N,2023-08-27
C1002,Customer2,F,1982-01-01,9946885253,user2@mail.com,Delhi,State,Y,2022-09-26
C1003,Customer3,M,1983-01-01,9997395948,user3@mail.com,Pune,State,N,2023-05-29
C1004,Customer4,M,1984-01-01,9847144854,user4@mail.com,Pune,State,N,2024-01-17
C1005,Customer5,M,1985-01-01,9734746160,user5@mail.com,Hyderabad,State,N,2020-03-03
C1006,Customer6,M,1986-01-01,9127322286,user6@mail.com,Hyderabad,State,N,2023-11-06
C1007,Customer7,M,1987-01-01,9553244221,user7@mail.com,Hyderabad,State,Y,2024-04-13
C1008,Customer8,F,1988-01-01,9632374341,user8@mail.com,Delhi,State,N,2021-04-17
C1009,Customer9,,1989-01-01,9334914346,user9@mail.com,Pune,State,N,2025-03-12
C1010,Customer10,M,1980-01-01,9546869806,user10@mail.com,Hyderabad,State,Y,2023-07-12
C1011,Customer11,,1981-01-01,9418246764,user11@mail.com,Hyderabad,State,N,2025-01-08
C1012,Customer12,,1982-01-01,9863636349,user12@mail.com,Pune,State,Y,2021-09-13
C1013,Customer13,F,1983-01-01,9730909864,user13@mail.com,Pune,State,N,2023-04-21
C1014,Customer14,M,1984-01-01,9615639791,user14@mail.com,Delhi,State,N,2022-04-28
C1015,Customer15,,1985-01-01,9285765286,user15@mail.com,Mumbai,State,N,2020-06-26
C1016,Customer16,F,1986-01-01,9812704513,user16@mail.com,Hyderabad,State,Y,2022-12-02
C1017,Customer17,F,1987-01-01,9497845686,user17@mail.com,Pune,State,Y,2022-08-19
C1018,Customer18,M,1988-01-01,9431280949,user18@mail.com,Pune,State,Y,2020-12-11
C1019,Customer19,,1989-01-01,9343672113,user19@mail.com,Hyderabad,State,Y,2023-01-10
C1020,Customer20,,1980-01-01,9349297217,user20@mail.com,Pune,State,N,2025-05-04
C1021,Customer21,,1981-01-01,9479325246,user21@mail.com,Pune,State,N,2023-09-12
C1022,Customer22,,1982-01-01,9753849522,user22@mail.com,Hyderabad,State,N,2024-05-23
C1023,Customer23,,1983-01-01,9650292614,user23@mail.com,Delhi,State,Y,2022-05-22
C1024,Customer24,M,1984-01-01,9616579138,user24@mail.com,Mumbai,State,Y,2025-04-11
C1025,Customer25,,1985-01-01,9543884919,user25@mail.com,Pune,State,N,2022-04-28
C1026,Customer26,F,1986-01-01,9101701610,user26@mail.com,Mumbai,State,N,2023-05-13
C1027,Customer27,M,1987-01-01,9963899905,user27@mail.com,Delhi,State,Y,2023-02-01
C1028,Customer28,,1988-01-01,9294115331,user28@mail.com,Hyderabad,State,N,2020-03-07
C1029,Customer29,,1989-01-01,9175648841,,Hyderabad,State,Y,2022-07-16
C1030,Customer30,M,1980-01-01,9909757328,user30@mail.com,Mumbai,State,Y,2021-07-04
C1031,Customer31,M,1981-01-01,9956081167,user31@mail.com,Delhi,State,N,2021-08-17
C1032,Customer32,M,1982-01-01,9279819878,user32@mail.com,Delhi,State,N,2022-12-16
C1033,Customer33,M,1983-01-01,9805079554,user33@mail.com,Mumbai,State,N,2022-07-20
C1034,Customer34,,1984-01-01,9445746760,user34@mail.com,Pune,State,N,2020-08-21
C1035,Customer35,M,1985-01-01,9435012742,user35@mail.com,Pune,State,N,2022-05-12
C1036,Customer36,M,1986-01-01,9377477256,user36@mail.com,Hyderabad,State,N,2025-01-16
C1037,Customer37,,1987-01-01,,user37@mail.com,Delhi,State,N,2024-07-31
C1038,Customer38,M,1988-01-01,9341993509,user38@mail.com,Hyderabad,State,N,2020-10-26
C1039,Customer39,M,1989-01-01,9871843706,user39@mail.com,Delhi,State,N,2023-12-14
C1040,Customer40,,1980-01-01,9828185719,user40@mail.com,Pune,State,Y,2025-06-23
C1041,Customer41,,1981-01-01,9956642881,user41@mail.com,Pune,State,Y,2022-12-08
C1042,Customer42,,1982-01-01,9132964169,user42@mail.com,Pune,State,N,2023-09-13
C1043,Customer43,,1983-01-01,9557735475,user43@mail.com,Hyderabad,State,N,2020-09-14
C1044,Customer44,M,1984-01-01,9150938496,user44@mail.com,Mumbai,State,Y,2024-10-24
C1045,Customer45,M,1985-01-01,9433250405,user45@mail.com,Mumbai,State,Y,2022-05-02
C1046,Customer46,,1986-01-01,9370967454,user46@mail.com,Delhi,State,Y,2023-02-22
C1047,Customer47,M,1987-01-01,9734134709,user47@mail.com,Delhi,State,N,2020-12-17
C1048,Customer48,,1988-01-01,9768901227,user48@mail.com,Hyderabad,State,N,2021-02-14
C1049,Customer49,F,1989-01-01,9206327675,user49@mail.com,Delhi,State,N,2023-04-26
C1050,Customer50,M,1980-01-01,9628657595,user50@mail.com,Hyderabad,State,N,2021-08-29
C1051,Customer51,,1981-01-01,9636656080,user51@mail.com,Hyderabad,State,N,2023-06-07
C1052,Customer52,F,1982-01-01,9402099104,user52@mail.com,Hyderabad,State,Y,2021-02-15
C1053,Customer53,F,1983-01-01,9970953935,user53@mail.com,Delhi,State,N,2022-05-29
C1054,Customer54,M,1984-01-01,9386190257,user54@mail.com,Hyderabad,State,N,2025-03-24
C1055,Customer55,,1985-01-01,9469205927,user55@mail.com,Pune,State,Y,2020-05-13
C1056,Customer56,,1986-01-01,9143379661,user56@mail.com,Hyderabad,State,Y,2020-12-13
C1057,Customer57,M,1987-01-01,9677897235,user57@mail.com,Delhi,State,N,2024-04-03
C1058,Customer58,F,1988-01-01,9744469321,,Mumbai,State,N,2021-11-24
C1059,Customer59,F,1989-01-01,9222313058,user59@mail.com,Mumbai,State,Y,2024-11-11
C1060,Customer60,,1980-01-01,9937024529,user60@mail.com,Pune,State,Y,2023-04-02
C1061,Customer61,,1981-01-01,9927053039,user61@mail.com,Hyderabad,State,N,2020-03-21
C1062,Customer62,F,1982-01-01,9178590834,user62@mail.com,Pune,State,Y,2024-08-23
C1063,Customer63,M,1983-01-01,9466035865,user63@mail.com,Hyderabad,State,N,2020-06-05
C1064,Customer64,,1984-01-01,9690853021,user64@mail.com,Delhi,State,Y,2025-05-04
C1065,Customer65,F,1985-01-01,9491799586,user65@mail.com,Mumbai,State,Y,2022-07-26
C1066,Customer66,F,1986-01-01,9215674943,user66@mail.com,Hyderabad,State,N,2020-01-26
C1067,Customer67,,1987-01-01,9819849018,user67@mail.com,Hyderabad,State,Y,2022-04-26
C1068,Customer68,M,1988-01-01,9987039576,user68@mail.com,Hyderabad,State,Y,2021-05-05
C1069,Customer69,,1989-01-01,9552059901,user69@mail.com,Delhi,State,Y,2022-07-12
